python   3.12.3
torch    2.14.0+cu130
numpy    2.5.3
in colab False
gpu      NVIDIA RTX PRO 6000 Blackwell Server Edition
device   cuda
cache    /home/ubuntu/lisa-rtm/lisa_rtm_cache
seeded   0
preset        FULL   run dir FULL_lam0.001
rates         12000 Hz -> 48000 Hz  (4x)
speakers      10 train / 3 held out
transport     n_fft=2048 hop=512  high band = bins 256..1024
evaluation    n_fft=1024 hop=256 (different basis, on purpose)
LISA: 86,881 parameters  (paper reports ~89k)
  encoder 9,984   decoder 76,897
OV2 model/loss/trainer defined.  LISAS params: 87777
OV3 model/distances defined.  LISASD params: 88,353  (LISAS 87,777; +4 decoder noise channels x 144 = 576 weights)
OV3 trainer defined (train_ov3, time_ov3, val_loss, plot_curves).
OV3 fast trainer defined (train_ov3_fast, time_ov3_fast, bench_fast, val_loss_fast, ArmStack).  flags: {'STACK': True, 'AMP': True, 'TF32': True, 'COMPILE': True, 'PIN': True, 'FUSED': True, 'STREAMS': False, 'CUDA_GRAPHS': False, 'GROUP_MAX': 1, 'DETERMINISTIC': False, 'COMPILE_MODE': 'default', 'SUBPIXEL': True, 'JITTER_PER_CELL': False}
arm es_erb_l0.1 ('es_marg_erb', 0.1, 'LISAS')  device cuda  torch 2.14.0+cu130
preflight: {"corpus_hours": 37.322358, "steps_per_epoch": 2099.383, "epochs": 49.9909, "n_utts": 39639, "milestones": [20990, 41980, 52475, 62970, 73465, 83960]}
g3 (must match every other instance): {"corpus": "db078cefbdf5017ba8cbc8b523ba6adb", "batches": "0d24acf51dd75d0e1de44a54206c8d3e"}
/home/ubuntu/lisa/venv/lib/python3.12/site-packages/triton/backends/nvidia/driver.c:9:10: fatal error: Python.h: No such file or directory
    9 | #include <Python.h>
      |          ^~~~~~~~~~
compilation terminated.
torch.compile failed, falling back to eager MLP: InductorError('CalledProcessError: Command \'[\'/usr/bin/gcc\', \'/home/ubuntu/lisa/venv/lib/python3.12/site-packages/triton/backends/nvidia/driver.c\', \'-O3\', \'-shared\', \'-fPIC\', \'-Wno-psabi\'
  es_erb_l0.1 step 500/104950  val 0.120936  102 ms/step  eta 2.96 h
  es_erb_l0.1 step 13500/104950  val 0.038663  99 ms/step  eta 2.51 h
  es_erb_l0.1 step 14000/104950  val 0.039157  99 ms/step  eta 2.49 h
  es_erb_l0.1 step 14500/104950  val 0.037709  99 ms/step  eta 2.48 h
  es_erb_l0.1 step 15000/104950  val 0.039393  99 ms/step  eta 2.47 h
  es_erb_l0.1 step 15500/104950  val 0.037121  99 ms/step  eta 2.45 h
  es_erb_l0.1 step 16000/104950  val 0.040146  99 ms/step  eta 2.44 h
  es_erb_l0.1 step 16500/104950  val 0.043398  99 ms/step  eta 2.42 h
  es_erb_l0.1 step 17000/104950  val 0.039825  99 ms/step  eta 2.41 h
  es_erb_l0.1 step 17500/104950  val 0.043396  99 ms/step  eta 2.40 h
  es_erb_l0.1 step 18000/104950  val 0.036367  99 ms/step  eta 2.38 h
  es_erb_l0.1 step 18500/104950  val 0.038459  99 ms/step  eta 2.37 h
  es_erb_l0.1 step 19000/104950  val 0.039826  99 ms/step  eta 2.36 h
  es_erb_l0.1 step 19500/104950  val 0.037374  99 ms/step  eta 2.34 h
  es_erb_l0.1 step 20000/104950  val 0.037855  99 ms/step  eta 2.33 h
  es_erb_l0.1 step 20500/104950  val 0.039752  99 ms/step  eta 2.31 h
  es_erb_l0.1 step 21000/104950  val 0.036401  99 ms/step  eta 2.30 h
  es_erb_l0.1 step 21500/104950  val 0.034272  99 ms/step  eta 2.29 h
  es_erb_l0.1 step 22000/104950  val 0.035472  99 ms/step  eta 2.27 h
  es_erb_l0.1 step 22500/104950  val 0.034127  99 ms/step  eta 2.26 h
  es_erb_l0.1 step 23000/104950  val 0.037378  99 ms/step  eta 2.25 h
  es_erb_l0.1 step 23500/104950  val 0.036038  99 ms/step  eta 2.23 h
  es_erb_l0.1 step 24000/104950  val 0.033352  99 ms/step  eta 2.22 h
  es_erb_l0.1 step 24500/104950  val 0.034123  99 ms/step  eta 2.20 h
  es_erb_l0.1 step 25000/104950  val 0.042180  99 ms/step  eta 2.19 h
  es_erb_l0.1 step 25500/104950  val 0.035725  99 ms/step  eta 2.18 h
  es_erb_l0.1 step 26000/104950  val 0.033644  99 ms/step  eta 2.16 h
  es_erb_l0.1 step 26500/104950  val 0.042053  99 ms/step  eta 2.15 h
  es_erb_l0.1 step 27000/104950  val 0.037381  99 ms/step  eta 2.14 h
  es_erb_l0.1 step 27500/104950  val 0.036717  99 ms/step  eta 2.12 h
  es_erb_l0.1 step 28000/104950  val 0.034750  99 ms/step  eta 2.11 h
  es_erb_l0.1 step 28500/104950  val 0.034435  99 ms/step  eta 2.09 h
  es_erb_l0.1 step 29000/104950  val 0.035260  99 ms/step  eta 2.08 h
  es_erb_l0.1 step 29500/104950  val 0.034177  99 ms/step  eta 2.07 h
  es_erb_l0.1 step 30000/104950  val 0.033055  99 ms/step  eta 2.05 h
  es_erb_l0.1 step 30500/104950  val 0.035970  99 ms/step  eta 2.04 h
  es_erb_l0.1 step 31000/104950  val 0.036615  99 ms/step  eta 2.03 h
  es_erb_l0.1 step 31500/104950  val 0.035219  99 ms/step  eta 2.01 h
  es_erb_l0.1 step 32000/104950  val 0.033766  99 ms/step  eta 2.00 h
  es_erb_l0.1 step 32500/104950  val 0.034494  99 ms/step  eta 1.98 h
  es_erb_l0.1 step 33000/104950  val 0.034028  99 ms/step  eta 1.97 h
  es_erb_l0.1 step 33500/104950  val 0.034102  99 ms/step  eta 1.96 h
  es_erb_l0.1 step 34000/104950  val 0.034671  99 ms/step  eta 1.94 h
  es_erb_l0.1 step 34500/104950  val 0.037957  99 ms/step  eta 1.93 h
  es_erb_l0.1 step 35000/104950  val 0.034581  99 ms/step  eta 1.92 h
  es_erb_l0.1 step 35500/104950  val 0.033907  99 ms/step  eta 1.90 h
  es_erb_l0.1 step 36000/104950  val 0.033770  99 ms/step  eta 1.89 h
  es_erb_l0.1 step 36500/104950  val 0.034213  99 ms/step  eta 1.87 h
  es_erb_l0.1 step 37000/104950  val 0.034849  99 ms/step  eta 1.86 h
  es_erb_l0.1 step 37500/104950  val 0.038697  99 ms/step  eta 1.85 h
  es_erb_l0.1 step 38000/104950  val 0.034763  99 ms/step  eta 1.83 h
  es_erb_l0.1 step 38500/104950  val 0.033117  99 ms/step  eta 1.82 h
  es_erb_l0.1 step 39000/104950  val 0.033159  99 ms/step  eta 1.81 h
  es_erb_l0.1 step 39500/104950  val 0.033908  99 ms/step  eta 1.79 h
  es_erb_l0.1 step 40000/104950  val 0.033818  99 ms/step  eta 1.78 h
  es_erb_l0.1 step 40500/104950  val 0.033456  99 ms/step  eta 1.77 h
  es_erb_l0.1 step 41000/104950  val 0.033092  99 ms/step  eta 1.75 h
  es_erb_l0.1 step 41500/104950  val 0.032839  99 ms/step  eta 1.74 h
  es_erb_l0.1 step 42000/104950  val 0.033565  99 ms/step  eta 1.72 h
  es_erb_l0.1 step 42500/104950  val 0.031983  99 ms/step  eta 1.71 h
  es_erb_l0.1 step 43000/104950  val 0.032518  99 ms/step  eta 1.70 h
  es_erb_l0.1 step 43500/104950  val 0.032715  99 ms/step  eta 1.68 h
  es_erb_l0.1 step 44000/104950  val 0.032326  99 ms/step  eta 1.67 h
  es_erb_l0.1 step 44500/104950  val 0.032612  99 ms/step  eta 1.66 h
  es_erb_l0.1 step 45000/104950  val 0.035448  99 ms/step  eta 1.64 h
  es_erb_l0.1 step 45500/104950  val 0.034786  99 ms/step  eta 1.63 h
  es_erb_l0.1 step 46000/104950  val 0.032083  99 ms/step  eta 1.61 h
  es_erb_l0.1 step 46500/104950  val 0.032217  99 ms/step  eta 1.60 h
  es_erb_l0.1 step 47000/104950  val 0.032709  99 ms/step  eta 1.59 h
  es_erb_l0.1 step 47500/104950  val 0.032402  99 ms/step  eta 1.57 h
  es_erb_l0.1 step 48000/104950  val 0.032509  99 ms/step  eta 1.56 h
  es_erb_l0.1 step 48500/104950  val 0.032478  99 ms/step  eta 1.55 h
  es_erb_l0.1 step 49000/104950  val 0.032014  99 ms/step  eta 1.53 h
  es_erb_l0.1 step 49500/104950  val 0.031893  99 ms/step  eta 1.52 h
  es_erb_l0.1 step 50000/104950  val 0.031941  99 ms/step  eta 1.50 h
  es_erb_l0.1 step 50500/104950  val 0.033514  99 ms/step  eta 1.49 h
  es_erb_l0.1 step 51000/104950  val 0.032167  99 ms/step  eta 1.48 h
  es_erb_l0.1 step 51500/104950  val 0.031973  99 ms/step  eta 1.46 h
  es_erb_l0.1 step 52000/104950  val 0.032197  99 ms/step  eta 1.45 h
  es_erb_l0.1 step 52500/104950  val 0.031854  99 ms/step  eta 1.44 h
  es_erb_l0.1 step 53000/104950  val 0.031906  99 ms/step  eta 1.42 h
  es_erb_l0.1 step 53500/104950  val 0.031982  99 ms/step  eta 1.41 h
  es_erb_l0.1 step 54000/104950  val 0.032111  99 ms/step  eta 1.40 h
  es_erb_l0.1 step 54500/104950  val 0.032352  99 ms/step  eta 1.38 h
  es_erb_l0.1 step 55000/104950  val 0.032133  99 ms/step  eta 1.37 h
  es_erb_l0.1 step 55500/104950  val 0.031773  99 ms/step  eta 1.35 h
  es_erb_l0.1 step 56000/104950  val 0.032618  99 ms/step  eta 1.34 h
  es_erb_l0.1 step 56500/104950  val 0.031991  99 ms/step  eta 1.33 h
  es_erb_l0.1 step 57000/104950  val 0.031952  99 ms/step  eta 1.31 h
  es_erb_l0.1 step 57500/104950  val 0.031681  99 ms/step  eta 1.30 h
  es_erb_l0.1 step 58000/104950  val 0.031969  99 ms/step  eta 1.29 h
  es_erb_l0.1 step 58500/104950  val 0.031882  99 ms/step  eta 1.27 h
  es_erb_l0.1 step 59000/104950  val 0.031716  99 ms/step  eta 1.26 h
  es_erb_l0.1 step 59500/104950  val 0.031903  99 ms/step  eta 1.24 h
  es_erb_l0.1 step 60000/104950  val 0.031733  99 ms/step  eta 1.23 h
  es_erb_l0.1 step 60500/104950  val 0.031858  99 ms/step  eta 1.22 h
  es_erb_l0.1 step 61000/104950  val 0.031744  99 ms/step  eta 1.20 h
  es_erb_l0.1 step 61500/104950  val 0.032214  99 ms/step  eta 1.19 h
  es_erb_l0.1 step 62000/104950  val 0.031823  99 ms/step  eta 1.18 h
  es_erb_l0.1 step 62500/104950  val 0.031832  99 ms/step  eta 1.16 h
  es_erb_l0.1 step 63000/104950  val 0.031656  99 ms/step  eta 1.15 h
  es_erb_l0.1 step 63500/104950  val 0.031667  99 ms/step  eta 1.13 h
  es_erb_l0.1 step 64000/104950  val 0.031530  99 ms/step  eta 1.12 h
  es_erb_l0.1 step 64500/104950  val 0.031548  99 ms/step  eta 1.11 h
  es_erb_l0.1 step 65000/104950  val 0.031570  99 ms/step  eta 1.09 h
  es_erb_l0.1 step 65500/104950  val 0.031527  99 ms/step  eta 1.08 h
  es_erb_l0.1 step 66000/104950  val 0.031487  99 ms/step  eta 1.07 h
  es_erb_l0.1 step 66500/104950  val 0.031587  99 ms/step  eta 1.05 h
  es_erb_l0.1 step 67000/104950  val 0.031515  99 ms/step  eta 1.04 h
  es_erb_l0.1 step 67500/104950  val 0.031460  99 ms/step  eta 1.03 h
  es_erb_l0.1 step 68000/104950  val 0.031497  99 ms/step  eta 1.01 h
  es_erb_l0.1 step 68500/104950  val 0.031518  99 ms/step  eta 1.00 h
  es_erb_l0.1 step 69000/104950  val 0.031741  99 ms/step  eta 0.98 h
  es_erb_l0.1 step 69500/104950  val 0.031513  99 ms/step  eta 0.97 h
  es_erb_l0.1 step 70000/104950  val 0.031545  99 ms/step  eta 0.96 h
  es_erb_l0.1 step 70500/104950  val 0.031436  99 ms/step  eta 0.94 h
  es_erb_l0.1 step 71000/104950  val 0.031516  99 ms/step  eta 0.93 h
  es_erb_l0.1 step 71500/104950  val 0.031621  99 ms/step  eta 0.92 h
  es_erb_l0.1 step 72000/104950  val 0.031540  99 ms/step  eta 0.90 h
  es_erb_l0.1 step 72500/104950  val 0.031620  99 ms/step  eta 0.89 h
  es_erb_l0.1 step 73000/104950  val 0.031402  99 ms/step  eta 0.87 h
  es_erb_l0.1 step 73500/104950  val 0.031337  99 ms/step  eta 0.86 h
  es_erb_l0.1 step 74000/104950  val 0.031340  99 ms/step  eta 0.85 h
  es_erb_l0.1 step 74500/104950  val 0.031332  99 ms/step  eta 0.83 h
  es_erb_l0.1 step 75000/104950  val 0.031398  99 ms/step  eta 0.82 h
  es_erb_l0.1 step 75500/104950  val 0.031347  99 ms/step  eta 0.81 h
  es_erb_l0.1 step 76000/104950  val 0.031465  99 ms/step  eta 0.79 h
  es_erb_l0.1 step 76500/104950  val 0.031356  99 ms/step  eta 0.78 h
  es_erb_l0.1 step 77000/104950  val 0.031371  99 ms/step  eta 0.77 h
  es_erb_l0.1 step 77500/104950  val 0.031409  99 ms/step  eta 0.75 h
  es_erb_l0.1 step 78000/104950  val 0.031324  99 ms/step  eta 0.74 h
  es_erb_l0.1 step 78500/104950  val 0.031353  99 ms/step  eta 0.72 h
  es_erb_l0.1 step 79000/104950  val 0.031360  99 ms/step  eta 0.71 h
  es_erb_l0.1 step 79500/104950  val 0.031413  99 ms/step  eta 0.70 h
  es_erb_l0.1 step 80000/104950  val 0.031371  99 ms/step  eta 0.68 h
  es_erb_l0.1 step 80500/104950  val 0.031420  99 ms/step  eta 0.67 h
  es_erb_l0.1 step 81000/104950  val 0.031349  99 ms/step  eta 0.66 h
  es_erb_l0.1 step 81500/104950  val 0.031370  99 ms/step  eta 0.64 h
  es_erb_l0.1 step 82000/104950  val 0.031354  99 ms/step  eta 0.63 h
  es_erb_l0.1 step 82500/104950  val 0.031414  99 ms/step  eta 0.61 h
  es_erb_l0.1 step 83000/104950  val 0.031360  99 ms/step  eta 0.60 h
  es_erb_l0.1 step 83500/104950  val 0.031387  99 ms/step  eta 0.59 h
  es_erb_l0.1 step 84000/104950  val 0.031377  99 ms/step  eta 0.57 h
  es_erb_l0.1 step 84500/104950  val 0.031310  99 ms/step  eta 0.56 h
  es_erb_l0.1 step 85000/104950  val 0.031336  99 ms/step  eta 0.55 h
  es_erb_l0.1 step 85500/104950  val 0.031314  99 ms/step  eta 0.53 h
  es_erb_l0.1 step 86000/104950  val 0.031336  99 ms/step  eta 0.52 h
  es_erb_l0.1 step 86500/104950  val 0.031325  99 ms/step  eta 0.51 h
  es_erb_l0.1 step 87000/104950  val 0.031321  99 ms/step  eta 0.49 h
  es_erb_l0.1 step 87500/104950  val 0.031293  99 ms/step  eta 0.48 h
  es_erb_l0.1 step 88000/104950  val 0.031309  99 ms/step  eta 0.46 h
  es_erb_l0.1 step 88500/104950  val 0.031338  99 ms/step  eta 0.45 h
  es_erb_l0.1 step 89000/104950  val 0.031326  99 ms/step  eta 0.44 h
  es_erb_l0.1 step 89500/104950  val 0.031339  99 ms/step  eta 0.42 h
  es_erb_l0.1 step 90000/104950  val 0.031279  99 ms/step  eta 0.41 h
  es_erb_l0.1 step 90500/104950  val 0.031302  99 ms/step  eta 0.40 h
  es_erb_l0.1 step 91000/104950  val 0.031381  99 ms/step  eta 0.38 h
  es_erb_l0.1 step 91500/104950  val 0.031328  99 ms/step  eta 0.37 h
  es_erb_l0.1 step 92000/104950  val 0.031316  99 ms/step  eta 0.35 h
  es_erb_l0.1 step 92500/104950  val 0.031303  99 ms/step  eta 0.34 h
  es_erb_l0.1 step 93000/104950  val 0.031310  99 ms/step  eta 0.33 h
  es_erb_l0.1 step 93500/104950  val 0.031318  99 ms/step  eta 0.31 h
  es_erb_l0.1 step 94000/104950  val 0.031315  99 ms/step  eta 0.30 h
  es_erb_l0.1 step 94500/104950  val 0.031310  99 ms/step  eta 0.29 h
  es_erb_l0.1 step 95000/104950  val 0.031349  99 ms/step  eta 0.27 h
  es_erb_l0.1 step 95500/104950  val 0.031314  99 ms/step  eta 0.26 h
  es_erb_l0.1 step 96000/104950  val 0.031339  99 ms/step  eta 0.25 h
  es_erb_l0.1 step 96500/104950  val 0.031351  99 ms/step  eta 0.23 h
  es_erb_l0.1 step 97000/104950  val 0.031321  99 ms/step  eta 0.22 h
  es_erb_l0.1 step 97500/104950  val 0.031323  99 ms/step  eta 0.20 h
  es_erb_l0.1 step 98000/104950  val 0.031321  99 ms/step  eta 0.19 h
  es_erb_l0.1 step 98500/104950  val 0.031316  99 ms/step  eta 0.18 h
  es_erb_l0.1 step 99000/104950  val 0.031333  99 ms/step  eta 0.16 h
  es_erb_l0.1 step 99500/104950  val 0.031341  99 ms/step  eta 0.15 h
  es_erb_l0.1 step 100000/104950  val 0.031277  99 ms/step  eta 0.14 h
  es_erb_l0.1 step 100500/104950  val 0.031295  99 ms/step  eta 0.12 h
  es_erb_l0.1 step 101000/104950  val 0.031291  99 ms/step  eta 0.11 h
  es_erb_l0.1 step 101500/104950  val 0.031306  99 ms/step  eta 0.09 h
  es_erb_l0.1 step 102000/104950  val 0.031311  99 ms/step  eta 0.08 h
  es_erb_l0.1 step 102500/104950  val 0.031333  99 ms/step  eta 0.07 h
  es_erb_l0.1 step 103000/104950  val 0.031299  99 ms/step  eta 0.05 h
  es_erb_l0.1 step 103500/104950  val 0.031283  99 ms/step  eta 0.04 h
  es_erb_l0.1 step 104000/104950  val 0.031252  99 ms/step  eta 0.03 h
  es_erb_l0.1 step 104500/104950  val 0.031315  99 ms/step  eta 0.01 h
  es_erb_l0.1 step 104950/104950  val 0.031262  99 ms/step  eta 0.00 h
DONE es_erb_l0.1: 4198 log points, final val 0.031262
