python   3.12.3
torch    2.14.0+cu130
numpy    2.5.3
in colab False
gpu      NVIDIA RTX PRO 6000 Blackwell Server Edition
device   cuda
cache    /home/ubuntu/lisa-rtm/lisa_rtm_cache
seeded   0
preset        FULL   run dir FULL_lam0.001
rates         12000 Hz -> 48000 Hz  (4x)
speakers      10 train / 3 held out
transport     n_fft=2048 hop=512  high band = bins 256..1024
evaluation    n_fft=1024 hop=256 (different basis, on purpose)
LISA: 86,881 parameters  (paper reports ~89k)
  encoder 9,984   decoder 76,897
OV2 model/loss/trainer defined.  LISAS params: 87777
OV3 model/distances defined.  LISASD params: 88,353  (LISAS 87,777; +4 decoder noise channels x 144 = 576 weights)
OV3 trainer defined (train_ov3, time_ov3, val_loss, plot_curves).
OV3 fast trainer defined (train_ov3_fast, time_ov3_fast, bench_fast, val_loss_fast, ArmStack).  flags: {'STACK': True, 'AMP': True, 'TF32': True, 'COMPILE': True, 'PIN': True, 'FUSED': True, 'STREAMS': False, 'CUDA_GRAPHS': False, 'GROUP_MAX': 1, 'DETERMINISTIC': False, 'COMPILE_MODE': 'default', 'SUBPIXEL': True, 'JITTER_PER_CELL': False}
arm es_erb_l0.001 ('es_marg_erb', 0.001, 'LISAS')  device cuda  torch 2.14.0+cu130
preflight: {"corpus_hours": 37.322358, "steps_per_epoch": 2099.383, "epochs": 49.9909, "n_utts": 39639, "milestones": [20990, 41980, 52475, 62970, 73465, 83960]}
g3 (must match every other instance): {"corpus": "db078cefbdf5017ba8cbc8b523ba6adb", "batches": "0d24acf51dd75d0e1de44a54206c8d3e"}
/home/ubuntu/lisa/venv/lib/python3.12/site-packages/triton/backends/nvidia/driver.c:9:10: fatal error: Python.h: No such file or directory
    9 | #include <Python.h>
      |          ^~~~~~~~~~
compilation terminated.
torch.compile failed, falling back to eager MLP: InductorError('CalledProcessError: Command \'[\'/usr/bin/gcc\', \'/home/ubuntu/lisa/venv/lib/python3.12/site-packages/triton/backends/nvidia/driver.c\', \'-O3\', \'-shared\', \'-fPIC\', \'-Wno-psabi\'
  es_erb_l0.001 step 500/104950  val 0.015310  102 ms/step  eta 2.96 h
  es_erb_l0.001 step 1000/104950  val 0.010210  100 ms/step  eta 2.89 h
  es_erb_l0.001 step 1500/104950  val 0.007356  100 ms/step  eta 2.86 h
  es_erb_l0.001 step 2000/104950  val 0.008233  99 ms/step  eta 2.84 h
  es_erb_l0.001 step 2500/104950  val 0.006360  99 ms/step  eta 2.82 h
  es_erb_l0.001 step 3000/104950  val 0.007471  99 ms/step  eta 2.81 h
  es_erb_l0.001 step 3500/104950  val 0.005132  99 ms/step  eta 2.79 h
  es_erb_l0.001 step 4000/104950  val 0.006269  99 ms/step  eta 2.77 h
  es_erb_l0.001 step 4500/104950  val 0.007047  99 ms/step  eta 2.76 h
  es_erb_l0.001 step 5000/104950  val 0.005346  99 ms/step  eta 2.74 h
  es_erb_l0.001 step 5500/104950  val 0.005602  99 ms/step  eta 2.73 h
  es_erb_l0.001 step 6000/104950  val 0.005852  99 ms/step  eta 2.71 h
  es_erb_l0.001 step 6500/104950  val 0.005057  99 ms/step  eta 2.70 h
  es_erb_l0.001 step 7000/104950  val 0.005906  99 ms/step  eta 2.69 h
  es_erb_l0.001 step 7500/104950  val 0.005097  99 ms/step  eta 2.67 h
  es_erb_l0.001 step 8000/104950  val 0.005349  99 ms/step  eta 2.66 h
  es_erb_l0.001 step 8500/104950  val 0.005524  99 ms/step  eta 2.64 h
  es_erb_l0.001 step 9000/104950  val 0.005021  99 ms/step  eta 2.63 h
  es_erb_l0.001 step 9500/104950  val 0.004214  99 ms/step  eta 2.62 h
  es_erb_l0.001 step 10000/104950  val 0.004863  99 ms/step  eta 2.60 h
  es_erb_l0.001 step 10500/104950  val 0.005128  99 ms/step  eta 2.59 h
  es_erb_l0.001 step 11000/104950  val 0.004629  99 ms/step  eta 2.57 h
  es_erb_l0.001 step 11500/104950  val 0.004714  99 ms/step  eta 2.56 h
  es_erb_l0.001 step 12000/104950  val 0.004683  99 ms/step  eta 2.55 h
  es_erb_l0.001 step 12500/104950  val 0.004804  99 ms/step  eta 2.53 h
  es_erb_l0.001 step 13000/104950  val 0.005427  99 ms/step  eta 2.52 h
  es_erb_l0.001 step 13500/104950  val 0.004573  99 ms/step  eta 2.50 h
  es_erb_l0.001 step 14000/104950  val 0.004460  99 ms/step  eta 2.49 h
  es_erb_l0.001 step 14500/104950  val 0.004475  99 ms/step  eta 2.48 h
  es_erb_l0.001 step 15000/104950  val 0.006194  99 ms/step  eta 2.46 h
  es_erb_l0.001 step 15500/104950  val 0.004708  99 ms/step  eta 2.45 h
  es_erb_l0.001 step 16000/104950  val 0.004661  99 ms/step  eta 2.44 h
  es_erb_l0.001 step 16500/104950  val 0.004812  99 ms/step  eta 2.42 h
  es_erb_l0.001 step 17000/104950  val 0.004549  99 ms/step  eta 2.41 h
  es_erb_l0.001 step 17500/104950  val 0.004208  99 ms/step  eta 2.39 h
  es_erb_l0.001 step 18000/104950  val 0.003973  99 ms/step  eta 2.38 h
  es_erb_l0.001 step 18500/104950  val 0.004639  99 ms/step  eta 2.37 h
  es_erb_l0.001 step 19000/104950  val 0.004299  99 ms/step  eta 2.35 h
  es_erb_l0.001 step 19500/104950  val 0.004260  99 ms/step  eta 2.34 h
  es_erb_l0.001 step 20000/104950  val 0.004225  99 ms/step  eta 2.33 h
  es_erb_l0.001 step 20500/104950  val 0.005682  99 ms/step  eta 2.31 h
  es_erb_l0.001 step 21000/104950  val 0.004093  99 ms/step  eta 2.30 h
  es_erb_l0.001 step 21500/104950  val 0.003917  99 ms/step  eta 2.28 h
  es_erb_l0.001 step 22000/104950  val 0.003919  99 ms/step  eta 2.27 h
  es_erb_l0.001 step 22500/104950  val 0.003938  99 ms/step  eta 2.26 h
  es_erb_l0.001 step 23000/104950  val 0.004277  99 ms/step  eta 2.24 h
  es_erb_l0.001 step 23500/104950  val 0.004134  99 ms/step  eta 2.23 h
  es_erb_l0.001 step 24000/104950  val 0.003873  99 ms/step  eta 2.22 h
  es_erb_l0.001 step 24500/104950  val 0.004090  99 ms/step  eta 2.20 h
  es_erb_l0.001 step 25000/104950  val 0.003840  99 ms/step  eta 2.19 h
  es_erb_l0.001 step 25500/104950  val 0.003892  99 ms/step  eta 2.17 h
  es_erb_l0.001 step 26000/104950  val 0.003947  99 ms/step  eta 2.16 h
  es_erb_l0.001 step 26500/104950  val 0.003799  99 ms/step  eta 2.15 h
