  es_dec_l0.01 step 26000/104950  val 0.008409  104 ms/step  eta 2.27 h
  es_dec_l0.01 step 26500/104950  val 0.008103  104 ms/step  eta 2.26 h
  es_dec_l0.01 step 27000/104950  val 0.008225  104 ms/step  eta 2.25 h
  es_dec_l0.01 step 27500/104950  val 0.008190  104 ms/step  eta 2.23 h
  es_dec_l0.01 step 28000/104950  val 0.008007  104 ms/step  eta 2.22 h
  es_dec_l0.01 step 28500/104950  val 0.008187  104 ms/step  eta 2.20 h
  es_dec_l0.01 step 29000/104950  val 0.008092  104 ms/step  eta 2.19 h
  es_dec_l0.01 step 29500/104950  val 0.008355  104 ms/step  eta 2.17 h
  es_dec_l0.01 step 30000/104950  val 0.008157  104 ms/step  eta 2.16 h
  es_dec_l0.01 step 30500/104950  val 0.008064  104 ms/step  eta 2.14 h
  es_dec_l0.01 step 31000/104950  val 0.008176  104 ms/step  eta 2.13 h
  es_dec_l0.01 step 31500/104950  val 0.008339  104 ms/step  eta 2.12 h
  es_dec_l0.01 step 32000/104950  val 0.008377  104 ms/step  eta 2.10 h
  es_dec_l0.01 step 32500/104950  val 0.008414  104 ms/step  eta 2.09 h
  es_dec_l0.01 step 33000/104950  val 0.008036  104 ms/step  eta 2.07 h
  es_dec_l0.01 step 33500/104950  val 0.008124  104 ms/step  eta 2.06 h
  es_dec_l0.01 step 34000/104950  val 0.008042  104 ms/step  eta 2.04 h
  es_dec_l0.01 step 34500/104950  val 0.008297  104 ms/step  eta 2.03 h
  es_dec_l0.01 step 35000/104950  val 0.008277  104 ms/step  eta 2.02 h
  es_dec_l0.01 step 35500/104950  val 0.008373  104 ms/step  eta 2.00 h
  es_dec_l0.01 step 36000/104950  val 0.008085  104 ms/step  eta 1.99 h
  es_dec_l0.01 step 36500/104950  val 0.008008  104 ms/step  eta 1.97 h
  es_dec_l0.01 step 37000/104950  val 0.008751  104 ms/step  eta 1.96 h
  es_dec_l0.01 step 37500/104950  val 0.008315  104 ms/step  eta 1.94 h
  es_dec_l0.01 step 38000/104950  val 0.008062  104 ms/step  eta 1.93 h
  es_dec_l0.01 step 38500/104950  val 0.008013  104 ms/step  eta 1.91 h
  es_dec_l0.01 step 39000/104950  val 0.008093  104 ms/step  eta 1.90 h
  es_dec_l0.01 step 39500/104950  val 0.008249  104 ms/step  eta 1.89 h
  es_dec_l0.01 step 40000/104950  val 0.008147  104 ms/step  eta 1.87 h
  es_dec_l0.01 step 40500/104950  val 0.008341  104 ms/step  eta 1.86 h
  es_dec_l0.01 step 41000/104950  val 0.008089  104 ms/step  eta 1.84 h
  es_dec_l0.01 step 41500/104950  val 0.008144  104 ms/step  eta 1.83 h
  es_dec_l0.01 step 42000/104950  val 0.007908  104 ms/step  eta 1.81 h
  es_dec_l0.01 step 42500/104950  val 0.007816  104 ms/step  eta 1.80 h
  es_dec_l0.01 step 43000/104950  val 0.007844  104 ms/step  eta 1.78 h
  es_dec_l0.01 step 43500/104950  val 0.007770  104 ms/step  eta 1.77 h
  es_dec_l0.01 step 44000/104950  val 0.007927  104 ms/step  eta 1.76 h
  es_dec_l0.01 step 44500/104950  val 0.008509  104 ms/step  eta 1.74 h
  es_dec_l0.01 step 45000/104950  val 0.007968  104 ms/step  eta 1.73 h
  es_dec_l0.01 step 45500/104950  val 0.007871  104 ms/step  eta 1.71 h
  es_dec_l0.01 step 46000/104950  val 0.007851  104 ms/step  eta 1.70 h
  es_dec_l0.01 step 46500/104950  val 0.007830  104 ms/step  eta 1.68 h
  es_dec_l0.01 step 47000/104950  val 0.007850  104 ms/step  eta 1.67 h
  es_dec_l0.01 step 47500/104950  val 0.007817  104 ms/step  eta 1.65 h
  es_dec_l0.01 step 48000/104950  val 0.007893  104 ms/step  eta 1.64 h
  es_dec_l0.01 step 48500/104950  val 0.007984  104 ms/step  eta 1.63 h
  es_dec_l0.01 step 49000/104950  val 0.007778  104 ms/step  eta 1.61 h
  es_dec_l0.01 step 49500/104950  val 0.008000  104 ms/step  eta 1.60 h
  es_dec_l0.01 step 50000/104950  val 0.007762  104 ms/step  eta 1.58 h
  es_dec_l0.01 step 50500/104950  val 0.007919  104 ms/step  eta 1.57 h
  es_dec_l0.01 step 51000/104950  val 0.007817  104 ms/step  eta 1.55 h
  es_dec_l0.01 step 51500/104950  val 0.008025  104 ms/step  eta 1.54 h
  es_dec_l0.01 step 52000/104950  val 0.007795  104 ms/step  eta 1.53 h
